"subject","condition","intended_hitrate","intended_falsealarmrate","actual_hitrate","actual_falsealarmrate","finalscore","colorbox_screentime","colorbox_averagescreentime","movingbox_screentime","switch1cnt","switch2cnt","switch3cnt","switch4cnt","totalswitches","switchback1cnt","switchback2cnt","switchback3cnt","switchback4cnt","falsealarmcnt","hitcnt","misscnt","falsealarmcount_1","falsealarmcount_2","falsealarmcount_3","falsealarmcount_4","hitcnt_1","hitcnt_2","hitcnt_3","hitcnt_4","misscnt_1","misscnt_2","misscnt_3","misscnt_4","averageRT_tosound","noswitchcnt_tosound","switchcnt_tosound","switchcnt_extra","critcnt","noncritcnt","totaltrials","totaltime","averagefiller","switchcnt_tosound_1","switchcnt_tosound_2","switchcnt_tosound_3","switchcnt_tosound_4","switchcnt_extra_1","switchcnt_extra_2","switchcnt_extra_3","switchcnt_extra_4","noswitchcnt_tosound_1","noswitchcnt_tosound_2","noswitchcnt_tosound_3","noswitchcnt_tosound_4","averageRT_tosound_1","averageRT_tosound_2","averageRT_tosound_3","averageRT_tosound_4"
"252","A","91","15",0.982758620689655,0.172413793103448,14560,132476.577,1743.11285526315,2265616.5861,13,45,12,6,76,13,47,11,5,15,57,1,4,6,2,3,13,11,13,20,0,0,0,1,1310.33209428572,2,70,6,58,87,145,2400213.2844,7489.65517241379,17,17,15,21,4,0,0,2,0,0,0,2,1019.70537647059,1376.72581764705,1112.46363333332,1633.18865714289
"253","B","85","10",0.909090909090909,0.0821917808219178,20769,133353.6272,1688.02059746835,2264735.5356,74,2,1,2,79,72,2,3,2,6,70,7,2,1,2,1,20,19,18,13,1,1,1,4,929.829501315784,0,76,3,77,73,150,2400267.2874,7211.92052980132,22,20,19,14,0,0,0,4,0,0,1,0,1002.19369545454,912.052169999987,938.632636842097,835.690642857159
"254","C","75","5",0.65625,0.0125,19807,48804.791199999,548.368440449427,2349287.3718,18,29,22,20,89,18,30,22,19,1,42,22,0,1,0,0,9,12,12,9,7,5,6,4,943.193488372069,0,43,46,64,80,144,2400158.2812,7344.8275862069,9,13,12,9,20,9,12,5,0,0,0,0,920.608222222234,870.434407692304,1063.06079999998,911.05212222213
"255","D","67","3",0.734177215189873,0.0204081632653061,16960,342062.565,4560.8342,2056031.5981,15,21,15,24,75,14,25,12,24,1,58,21,0,1,0,0,17,17,11,13,6,5,4,6,2027.24095000001,3,56,19,79,49,128,2400085.277,7426.35658914729,13,18,11,13,4,6,6,4,4,0,0,0,2139.50698461537,1896.66404444442,2288.13087272727,1882.72306153853
"256","A","91","15",0.866666666666667,0.159420289855072,17138,176891.1173,1965.45685888889,2221201.0457,13,29,26,22,90,14,28,25,23,11,65,10,3,3,2,3,15,18,13,19,1,1,4,4,2257.25954492754,7,69,21,75,69,144,2400078.2766,7368.05555555556,14,19,15,21,6,4,6,5,4,2,0,1,1940.82529285714,3426.1959631579,2492.40924666662,1242.64250000003
"257","B","85","10",0.849315068493151,0.0294117647058824,21850,61412.5129000012,748.933084146356,2336681.6503,34,18,14,16,82,34,18,14,16,2,62,11,1,0,0,1,17,16,13,16,3,4,2,2,3695.69574999998,0,64,18,73,68,141,2400126.2794,7422.53521126761,18,16,13,17,6,5,4,3,0,0,0,0,4317.85806666667,5688.76286875,3643.20839230768,1201.24516470581
"258","A","91","15",0.909090909090909,0.16,19129,181362.3732,2484.41607123287,2216729.7898,19,43,3,8,73,17,45,3,8,12,60,6,4,5,3,0,18,19,15,8,2,2,2,0,1193.84605555556,0,72,1,66,75,141,2400139.2801,7760.56338028169,22,23,18,8,0,0,1,1,0,1,0,0,1215.70589090909,1143.50017826088,1254.73842222219,1166.69173750011
"259","D","67","3",0.634920634920635,0.0153846153846154,18861,41487.3732,921.941626666666,2356603.7898,4,11,16,14,45,4,11,16,14,1,40,23,0,0,0,1,10,11,10,9,8,9,3,3,2744.98626829268,0,41,4,63,65,128,2400148.2807,7426.35658914729,10,11,10,10,3,0,0,1,0,0,0,0,2335.03356000001,2706.79118181818,2674.55294999997,3267.38689000001
"260","C","75","5",0.8625,0.0461538461538462,20215,93553.3513000003,1127.14881084338,2304542.8119,43,36,0,4,83,19,63,0,1,3,69,11,1,1,0,1,15,18,18,18,3,2,3,3,2619.40333943662,1,71,12,80,65,145,2400217.2846,7369.86301369863,15,19,18,19,6,3,1,2,1,0,0,0,5737.06146666666,2688.73273157893,1125.34213888887,1504.19130000004
"261","A","91","15",0.878787878787879,0.157142857142857,13887,110847.3401,1787.86032419355,2287243.8229,12,12,22,16,62,17,11,20,14,11,58,8,2,2,4,3,25,8,13,12,3,2,1,2,2079.54997758622,11,58,4,66,70,136,2400039.2744,7566.17647058824,27,10,14,7,1,1,0,2,0,0,3,8,1592.64665925926,1799.00290000001,2346.49132857142,3824.50447142866
"262","D","67","3",0.540540540540541,0.0161290322580645,19285,77030.4061,975.06843164557,2322074.8149,21,31,15,12,79,21,31,15,12,1,40,34,0,0,1,0,12,7,11,10,7,11,7,9,3254.13482820515,2,39,40,74,62,136,2400811.3186,7404.41176470588,12,6,11,10,16,9,8,7,0,1,1,0,2053.9508,2768.32498333337,3448.28810909094,4772.27296000002
"263","C","75","5",0.779411764705882,0.0416666666666667,21512,45788.6188999996,726.803474603168,2352307.5444,9,19,18,17,63,10,20,15,18,3,53,15,1,0,2,0,16,11,14,12,2,4,4,5,1092.43748750001,0,56,7,68,72,140,2400130.2796,7468.08510638298,17,11,16,12,2,0,2,3,0,0,0,0,1144.00660588234,1116.51842727276,1026.37120625,1085.39541666668
"264","B","85","10",0.921875,0.130434782608696,18071,87810.0223999998,1330.45488484848,2310280.1405,17,17,11,21,66,17,17,10,22,9,59,5,1,3,4,1,14,10,13,22,2,1,2,0,2959.78040370371,14,54,12,64,69,133,2400116.2788,7503.75939849624,10,12,12,20,7,3,2,0,5,1,5,3,3242.88545000001,2542.81210833334,3967.14360000001,2463.99094
"265","D","67","3",0.769230769230769,0.0158730158730159,21516,36077.0636999999,644.233280357141,2362022.0997,10,21,5,20,56,9,6,6,35,1,50,15,0,0,1,0,13,12,11,14,5,5,5,0,3231.77458461536,12,39,17,65,63,128,2400098.2777,7554.6875,9,11,8,11,4,3,4,6,4,1,4,3,1798.32506666665,1953.74811818178,7365.79628750001,2676.06214545451
"266","A","91","15",0.917647058823529,0.150684931506849,20293,72357.1388999993,613.196092372875,2325737.0242,46,68,3,1,118,48,66,3,1,11,78,7,3,3,2,3,18,25,18,17,3,1,2,1,2629.20655955056,0,89,29,85,73,158,2400184.2827,7303.79746835443,21,28,20,20,15,7,5,2,0,0,0,0,5659.41893809524,2334.45493928571,987.856499999983,1501.48589000002
"267","A","91","15",0.884615384615385,0.138888888888889,19402,92438.2870999998,1185.10624487179,2305639.8751,24,22,21,11,78,24,29,16,9,10,69,9,2,3,4,1,14,19,19,17,0,1,4,4,1169.28483333334,1,78,0,78,72,150,2400717.3132,7536.4238410596,15,22,23,18,0,0,0,0,1,0,0,0,1175.26722,1091.51698181817,1147.76131304347,1286.85138333338
"268","C","75","5",0.682539682539683,0.0821917808219178,21614,35133.0101000005,702.660202000009,2362961.153,0,5,5,40,50,0,5,5,40,6,43,20,2,1,2,1,7,15,5,16,8,4,6,2,961.442732653028,0,49,1,63,73,136,2400065.2759,7485.29411764706,9,16,7,17,1,0,0,0,0,0,0,0,1043.39297777778,945.179043749988,957.197599999972,935.112305882277
"270","D","67","3",0.692307692307692,0.0533333333333333,15353,105693.045199999,2457.97779534883,2292401.1179,1,3,30,9,43,1,15,13,14,4,36,16,0,0,2,2,10,9,8,9,6,4,1,5,1447.95781,0,40,3,52,75,127,2400186.2828,7531.25,10,9,10,11,1,1,1,0,0,0,0,0,1472.98425,1397.19099999997,1442.08248000001,1472.08419090912
"271","B","85","10",0.743589743589744,0.121212121212121,20893,55120.1533000005,787.430761428578,2342974.0098,23,20,9,18,70,23,20,9,18,8,58,20,2,0,2,4,14,18,16,10,7,3,4,6,1743.77665384615,1,65,5,78,66,144,2400156.2811,7402.77777777778,15,18,18,14,1,2,1,1,1,0,0,0,1914.30945999999,1668.3176388889,1513.14210555554,1954.6118
"272","D","67","3",0.640625,0.0303030303030303,19466,58915.3700000005,935.164603174611,2339176.793,9,29,13,12,63,5,39,9,10,2,41,23,0,1,0,1,5,12,11,13,5,5,7,6,3415.93347142857,1,42,21,64,66,130,2400138.28,7446.15384615385,4,13,11,14,8,5,4,4,1,0,0,0,3032.42345,4373.55786153848,3152.08936363639,2843.59119999997
"273","D","67","3",0.6,0.015625,18104,93247.3329999998,2390.95725641025,2304843.8299,26,12,1,0,39,35,3,0,0,1,36,24,0,0,0,1,5,7,14,10,4,7,8,5,1530.96992352942,3,34,5,60,64,124,2400153.2809,7548.38709677419,3,6,14,11,4,0,1,0,2,1,0,0,1671.0956,1523.75383333336,1544.44547857145,1479.53917272725
